canonical_term,category,count,problem_ids
고구려,국가,34,"['cj_v41_0002', 'cj_v41_0006', 'cj_v41_0053', 'cj_v41_0148', 'cj_v41_0253', 'cj_v41_0291', 'cj_v41_0429', 'cj_v41_0435', 'cj_v41_0477', 'cj_v41_0524', 'cj_v41_0534', 'cj_v41_0571', 'cj_v41_0576', 'cj_v41_0671', 'cj_v41_0715', 'cj_v41_0811', 'cj_v41_0856', 'cj_v41_0907', 'cj_v41_0948', 'cj_v41_1001', 'cj_v41_1010', 'cj_v41_1054', 'cj_v41_1097', 'cj_v41_1098', 'cj_v41_1099', 'cj_v41_1145', 'cj_v41_1148', 'cj_v41_1195', 'cj_v41_1245', 'cj_v41_1389', 'cj_v41_1433', 'cj_v41_1481', 'cj_v41_1485', 'cj_v41_1488']"
백제,국가,34,"['cj_v41_0002', 'cj_v41_img_47_05', 'cj_v41_0006', 'cj_v41_0049', 'cj_v41_0195', 'cj_v41_0289', 'cj_v41_0290', 'cj_v41_img_53_09', 'cj_v41_0429', 'cj_v41_0430', 'cj_v41_0435', 'cj_v41_0479', 'cj_v41_0482', 'cj_v41_0522', 'cj_v41_0525', 'cj_v41_0564', 'cj_v41_0571', 'cj_v41_0637', 'cj_v41_0763', 'cj_v41_0856', 'cj_v41_0857', 'cj_v41_0903', 'cj_v41_0949', 'cj_v41_1000', 'cj_v41_1049', 'cj_v41_1099', 'cj_v41_1148', 'cj_v41_1149', 'cj_v41_1195', 'cj_v41_1245', 'cj_v41_1389', 'cj_v41_img_77_04', 'cj_v41_1481', 'cj_v41_1488']"
대한민국 임시 정부,기관,32,"['cj_v41_0038', 'cj_v41_0133', 'cj_v41_0134', 'cj_v41_0180', 'cj_v41_0186', 'cj_v41_0187', 'cj_v41_0279', 'cj_v41_0281', 'cj_v41_0328', 'cj_v41_img_54_43', 'cj_v41_0414', 'cj_v41_0417', 'cj_v41_0421', 'cj_v41_0515', 'cj_v41_0516', 'cj_v41_0553', 'cj_v41_0606', 'cj_v41_0788', 'cj_v41_0797', 'cj_v41_0844', 'cj_v41_0853', 'cj_v41_0938', 'cj_v41_1031', 'cj_v41_1043', 'cj_v41_1078', 'cj_v41_1134', 'cj_v41_1228', 'cj_v41_1234', 'cj_v41_1279', 'cj_v41_1473', 'cj_v41_1477', 'cj_v41_1513']"
고종,인물,30,"['cj_v41_0026', 'cj_v41_0029', 'cj_v41_0080', 'cj_v41_0082', 'cj_v41_0083', 'cj_v41_0123', 'cj_v41_0176', 'cj_v41_0221', 'cj_v41_0363', 'cj_v41_0410', 'cj_v41_0462', 'cj_v41_0550', 'cj_v41_0596', 'cj_v41_0601', 'cj_v41_0603', 'cj_v41_0647', 'cj_v41_0737', 'cj_v41_0740', 'cj_v41_0741', 'cj_v41_0791', 'cj_v41_1031', 'cj_v41_1033', 'cj_v41_1124', 'cj_v41_1125', 'cj_v41_1128', 'cj_v41_1226', 'cj_v41_1227', 'cj_v41_1316', 'cj_v41_1411', 'cj_v41_1433']"
강화도,지명,28,"['cj_v41_0020', 'cj_v41_0298', 'cj_v41_0313', 'cj_v41_0361', 'cj_v41_0406', 'cj_v41_0452', 'cj_v41_0486', 'cj_v41_0532', 'cj_v41_0581', 'cj_v41_0640', 'cj_v41_0646', 'cj_v41_0678', 'cj_v41_0682', 'cj_v41_0772', 'cj_v41_0818', 'cj_v41_0824', 'cj_v41_0827', 'cj_v41_0869', 'cj_v41_0912', 'cj_v41_0920', 'cj_v41_0925', 'cj_v41_1058', 'cj_v41_1074', 'cj_v41_1158', 'cj_v41_1253', 'cj_v41_1298', 'cj_v41_1357', 'cj_v41_1460']"
신라,국가,26,"['cj_v41_0003', 'cj_v41_0006', 'cj_v41_0196', 'cj_v41_0289', 'cj_v41_0291', 'cj_v41_0384', 'cj_v41_0435', 'cj_v41_0479', 'cj_v41_0525', 'cj_v41_0526', 'cj_v41_0720', 'cj_v41_0763', 'cj_v41_0903', 'cj_v41_0949', 'cj_v41_0950', 'cj_v41_1052', 'cj_v41_1146', 'cj_v41_1149', 'cj_v41_1152', 'cj_v41_1195', 'cj_v41_1244', 'cj_v41_1296', 'cj_v41_1336', 'cj_v41_1346', 'cj_v41_1389', 'cj_v41_1433']"
개경,지명,26,"['cj_v41_0011', 'cj_v41_0159', 'cj_v41_0248', 'cj_v41_0295', 'cj_v41_0436', 'cj_v41_0484', 'cj_v41_0581', 'cj_v41_0583', 'cj_v41_0674', 'cj_v41_0678', 'cj_v41_0726', 'cj_v41_0772', 'cj_v41_0957', 'cj_v41_0958', 'cj_v41_1008', 'cj_v41_1023', 'cj_v41_1107', 'cj_v41_1110', 'cj_v41_1154', 'cj_v41_1208', 'cj_v41_img_73_14', 'cj_v41_1255', 'cj_v41_1342', 'cj_v41_1349', 'cj_v41_1481', 'cj_v41_1495']"
조선,국가,24,"['cj_v41_0020', 'cj_v41_0022', 'cj_v41_0026', 'cj_v41_0210', 'cj_v41_0302', 'cj_v41_0323', 'cj_v41_img_54_20', 'cj_v41_0538', 'cj_v41_0552', 'cj_v41_0589', 'cj_v41_0596', 'cj_v41_0604', 'cj_v41_0613', 'cj_v41_0646', 'cj_v41_0685', 'cj_v41_0983', 'cj_v41_1214', 'cj_v41_1216', 'cj_v41_1222', 'cj_v41_1260', 'cj_v41_1336', 'cj_v41_1367', 'cj_v41_1433', 'cj_v41_1481']"
소도,제도,24,"['cj_v41_0002', 'cj_v41_0048', 'cj_v41_0098', 'cj_v41_0146', 'cj_v41_0193', 'cj_v41_0242', 'cj_v41_0288', 'cj_v41_0334', 'cj_v41_0379', 'cj_v41_0570', 'cj_v41_0618', 'cj_v41_0667', 'cj_v41_0713', 'cj_v41_0761', 'cj_v41_0807', 'cj_v41_0855', 'cj_v41_0902', 'cj_v41_0999', 'cj_v41_1145', 'cj_v41_img_73_04', 'cj_v41_1293', 'cj_v41_1388', 'cj_v41_1436', 'cj_v41_1484']"
청해진,기관,24,"['cj_v41_0009', 'cj_v41_0061', 'cj_v41_0105', 'cj_v41_0200', 'cj_v41_0247', 'cj_v41_0293', 'cj_v41_0339', 'cj_v41_0389', 'cj_v41_0435', 'cj_v41_0533', 'cj_v41_0676', 'cj_v41_0719', 'cj_v41_0765', 'cj_v41_0813', 'cj_v41_0861', 'cj_v41_0905', 'cj_v41_1057', 'cj_v41_1103', 'cj_v41_1157', 'cj_v41_1295', 'cj_v41_1352', 'cj_v41_1390', 'cj_v41_1442', 'cj_v41_1492']"
